标题,个人评分,打分日期,我的短评,出版日期,作者,条目链接
"玻璃珠游戏","5","2025/05/28","","2013/8","(德)赫尔曼·黑塞","https://book.douban.com/subject/19967342/"
"新爱洛伊丝","4","2025/05/12","","2013/1","(法)卢梭","https://book.douban.com/subject/11528357/"
"长恨歌","4","2025/04/28","","2019/1","王安忆","https://book.douban.com/subject/30485015/"
"死水微澜","5","2025/04/17","起名太好","2000/7","李劼人","https://book.douban.com/subject/1394402/"
"叶甫盖尼·奥涅金","5","2025/04/12","","2018/3/1","[俄] 普希金","https://book.douban.com/subject/26986054/"
"源氏物语","5","2025/03/22","","2022/5","[日] 紫式部","https://book.douban.com/subject/35659986/"
"儒林外史","4","2025/02/22","","1958初版1981六印","(清)吴敬梓","https://book.douban.com/subject/3210483/"
"虚构集","4","2024/11/08","","2008/2","[阿根廷]豪·路·博尔赫斯","https://book.douban.com/subject/3003477/"
"伊索寓言全集","4","2024/11/07","","2017/6","[古希腊]伊索","https://book.douban.com/subject/27132558/"
"爱丽丝漫游奇境记","5","2024/11/07","","2015/1/1","[英]刘易斯•卡罗尔","https://book.douban.com/subject/26342572/"
"爱丽丝漫游奇境 镜中世界","5","2024/11/07","","2001/1","[英国] 刘易斯·卡罗尔","https://book.douban.com/subject/1127270/"
"等待戈多","5","2024/11/05","","2022/8/1","[爱尔兰]萨缪尔·贝克特","https://book.douban.com/subject/35810330/"
"窄门","4","2024/11/04","","2018/10","[法] 安德烈·纪德","https://book.douban.com/subject/30331835/"
"劳儿之劫","4","2024/06/18","","2005/7","[法] 玛格丽特·杜拉斯","https://book.douban.com/subject/1400703/"
"长刀之夜","4","2024/04/28","","2021/3","[日]三岛由纪夫","https://book.douban.com/subject/35316201/"
"丰乳肥臀","4","2024/04/18","","2003/09","莫言","https://book.douban.com/subject/1010349/"
"檀香刑","4","2024/04/18","","2001/3","莫言","https://book.douban.com/subject/1043485/"
"红高粱家族","4","2024/04/18","","2017/1","莫言","https://book.douban.com/subject/26905339/"
"哈利·波特","4","2024/04/18","","2008/12/1","J.K.罗琳 (J.K.Rowling)","https://book.douban.com/subject/24531956/"
"三体全集","4","2024/04/18","","2012/1","刘慈欣","https://book.douban.com/subject/6518605/"
"梦里花落知多少","4","2024/04/18","","2007/6","三毛","https://book.douban.com/subject/2070844/"
"撒哈拉的故事","4","2024/04/18","","1976","三毛","https://book.douban.com/subject/1361264/"
"悉达多","5","2024/04/18","","2017/1","[德] 赫尔曼·黑塞","https://book.douban.com/subject/26980487/"
"沉默的大多数","4","2024/04/18","","1997/10","王小波","https://book.douban.com/subject/1054685/"
"卡拉马佐夫兄弟","5","2024/04/18","","2015/2/1","[俄] 费奥多尔·陀思妥耶夫斯基","https://book.douban.com/subject/25887924/"
"死屋手记","5","2024/04/18","","2011/5","[俄] 陀思妥耶夫斯基","https://book.douban.com/subject/1088418/"
"许三观卖血记","5","2024/04/18","","2012/9","余华","https://book.douban.com/subject/4760224/"
"兄弟","4","2024/04/18","","2012/9/1","余华","https://book.douban.com/subject/20441957/"
"鼠疫","4","2024/04/18","","2013/8","[法] 阿尔贝·加缪","https://book.douban.com/subject/24257229/"
"四世同堂","5","2024/04/18","","2008/7","老舍","https://book.douban.com/subject/3183775/"
"茶馆","5","2024/04/18","","2002/1","老舍","https://book.douban.com/subject/1036613/"
"正红旗下","5","2024/04/18","","1980年6月","老舍","https://book.douban.com/subject/2032964/"
"月牙儿","5","2024/04/18","","2006/12/1","老舍","https://book.douban.com/subject/1982001/"
"人间词话","4","2024/04/18","","1998/12","王国维","https://book.douban.com/subject/1203426/"
"道德经","5","2024/04/18","","1996/10","黄元吉","https://book.douban.com/subject/1059258/"
"罪与罚","5","2024/04/18","","2006/8","[俄] 陀思妥耶夫斯基","https://book.douban.com/subject/1858568/"
"人生的枷锁","4","2024/04/18","","2007/3","[英] 毛姆","https://book.douban.com/subject/2035171/"
"受戒","4","2024/04/18","","1987/10","汪曾祺","https://book.douban.com/subject/1760432/"
"人间草木","4","2024/04/18","","2005/01","汪曾祺","https://book.douban.com/subject/1253310/"
"白鹿原","5","2023/11/10","","2017/4/1","陈忠实","https://book.douban.com/subject/27047454/"
