标题,个人评分,打分日期,我的短评,上映日期,制片国家,条目链接
"私家侦探 / 私家偵探","1","2025/06/01","","2025/05/31","中国大陆","https://movie.douban.com/subject/36563406/"
"爱，死亡和机器人 第四季 / Love, Death & Robots Season 4","2","2025/06/01","","2025/05/15","美国","https://movie.douban.com/subject/36056894/"
"使女的故事 第六季 / The Handmaid's Tale Season 6","3","2025/06/01","","2025/04/08","美国","https://movie.douban.com/subject/36089658/"
"安多 第二季 / Andor Season 2","4","2025/06/01","","2025/04/22","美国","https://movie.douban.com/subject/35914829/"
"碟中谍8：最终清算 / Mission: Impossible - The Final Reckoning","4","2025/05/31","","2025/05/14","戛纳国际电影节","https://movie.douban.com/subject/30433456/"
"星际宝贝史迪奇 / Lilo & Stitch","2","2025/05/27","","2025/05/21","法国","https://movie.douban.com/subject/30345743/"
"爱，死亡和机器人 第三季 / Love, Death & Robots Season 3","3","2025/05/13","","2022/05/20","美国","https://movie.douban.com/subject/35436582/"
"五月雪","3","2025/05/07","有挺多想法，不过效果不尽如人意，也许确实是有现实因素制约，但本可以拍得更好。第一折远比第二折更好。对粤剧窦娥的隐喻使用比较灵巧，同时上下折呈示回忆的结构也做得不错（虽然我认为结构上变为三折可以更好些）。另一方面整个所述的对象513本身就不被多数观众（甚至是如今多数马来西亚观众）所熟知了解，又受着现实政治因素的影响和表达上的委婉，最终的结果就是事件呈现不足而叙述苍白做作，这也直接导致了第二折追忆控诉的效果直线下降，对最后本该有力的哭泣那一幕的效果影响太严重了","2023/09/02","威尼斯国际电影节","https://movie.douban.com/subject/35211950/"
"雷霆特攻队* / Thunderbolts*","1","2025/05/05","原来巴基有这么帅吗 以前都没发现","2025/04/30","中国大陆","https://movie.douban.com/subject/35927475/"
"阿诺拉 / Anora","2","2025/05/02","","2024/05/21","戛纳电影节","https://movie.douban.com/subject/36195543/"
"星球大战：幻境 第一季 / Star Wars: Visions Season 1","3","2025/05/02","","2021/09/22","美国","https://movie.douban.com/subject/35284557/"
"星球大战：幻境 第二季 / Star Wars: Visions Season 2","3","2025/05/02","","2023/05/04","美国","https://movie.douban.com/subject/35916889/"
"我是余欢水","3","2025/05/02","","2020/04/06","中国大陆","https://movie.douban.com/subject/33442331/"
"企鹅人 第一季 / The Penguin Season 1","4","2025/05/01","企鹅人塑造的有点好了","2024/09/19","美国","https://movie.douban.com/subject/35604181/"
"黑镜 第七季 / Black Mirror Season 7","3","2025/04/24","","2025/04/10","美国","https://movie.douban.com/subject/36653963/"
"假面骑士加布：SWEET NIGHTMARE GAME～零食游戏大会～ / SWEET NIG...","3","2025/04/24","","2025/04/09","日本","https://movie.douban.com/subject/37276975/"
"昨日青春 / Happyend","3","2025/04/24","","2024/09/02","威尼斯电影节","https://movie.douban.com/subject/36960439/"
"黎明的一切 / 夜明けのすべて","4","2025/04/19","","2024/02/09","日本","https://movie.douban.com/subject/36135198/"
"粗野派 / The Brutalist","3","2025/04/16","阿德里安演的太好，画面又拍的太美。片子想法倒是很多但都落得不够好，无论是粗野派的多重所指还是串联文本的建筑都没有好好下足功夫，明明有着三个小时的长度却拍的太过散了","2024/09/01","威尼斯电影节","https://movie.douban.com/subject/30388206/"
"从今以后 / 從今以後","3","2025/04/08","感觉前段对亲友对立身份的强调拍得比后段好多了","2024/02/16","柏林电影节","https://movie.douban.com/subject/35618436/"
"X医生：外科医生大门未知子 电影版 / 劇場版ドクターX","3","2025/04/08","","2024/10/31","东京国际电影节","https://movie.douban.com/subject/36357969/"
"使女的故事 第五季 / The Handmaid's Tale Season 5","3","2025/04/06","","2022/09/14","美国","https://movie.douban.com/subject/35284172/"
"疾速追杀3 / John Wick: Chapter 3 - Parabellum","3","2025/03/26","","2019/05/17","美国","https://movie.douban.com/subject/26909790/"
"大陆酒店 / The Continental","3","2025/03/26","","2023/09/22","美国","https://movie.douban.com/subject/26967910/"
"疾速追杀2 / John Wick: Chapter 2","4","2025/03/25","","2017/02/10","美国","https://movie.douban.com/subject/26333560/"
"白雪公主 / Snow White","1","2025/03/24","","2025/03/21","美国/中国大陆","https://movie.douban.com/subject/26908303/"
"BJ单身日记4 / Bridget Jones: Mad About the Boy","2","2025/03/24","","2025/02/12","法国","https://movie.douban.com/subject/36848001/"
"秘密关卡 第一季 / Secret Level Season 1","3","2025/03/24","","2024/12/10","美国","https://movie.douban.com/subject/37005611/"
"疾速追杀 / John Wick","4","2025/03/24","好酷，，，","2014/10/24","美国","https://movie.douban.com/subject/25798131/"
"初步举证 / National Theatre Live: Prima Facie","4","2025/03/23","剧本有点太普了，不过技法和演技都很出彩","2022/07/21","英国点映","https://movie.douban.com/subject/35861791/"
"还有明天 / C'è ancora domani","5","2025/03/23","","2023/10/26","意大利","https://movie.douban.com/subject/36445098/"
"疾速追杀4 / John Wick: Chapter 4","3","2025/03/23","","2023/03/13","西南偏南电影节","https://movie.douban.com/subject/33455421/"
"超级战队·Universe大战 ~头号战队豪兽者Eisode 0~ / スーパー戦隊...","4","2025/03/18","","2025/02/02","日本","https://movie.douban.com/subject/37216431/"
"豪兽者补完计划 头号忏悔室 / ゴジュウジャー補ジュウ計画ナンバー...","4","2025/03/18","","2025/03/16","日本","https://movie.douban.com/subject/37227599/"
"头号战队豪兽者 周年纪念讨论会 / ナンバーワン戦隊ゴジュウジャー...","4","2025/03/18","","2025/02/09","日本","https://movie.douban.com/subject/37228795/"
"头号战队豪兽者 变身合体讲座 / ナンバーワン戦隊ゴジュウジャー ...","3","2025/03/18","","2025/02/16","日本","https://movie.douban.com/subject/37247406/"
"假面骑士歌查德剧场版：THE·未来·破晓 / 仮面ライダーガッチャー...","2","2025/03/18","","2024/07/26","日本","https://movie.douban.com/subject/36866191/"
"弹珠传说","4","2025/03/18","","2010/10/01","中国大陆","https://movie.douban.com/subject/5683891/"
"假面骑士 令和的华丽运动会 / 仮面ライダー 令和のゴージャス運動会","3","2025/02/22","","2024/08/17","日本","https://movie.douban.com/subject/37018181/"
"美国队长4 / Captain America: Brave New World","1","2025/02/17","","2025/02/12","法国","https://movie.douban.com/subject/35443158/"
"花样的年华 / 花樣的年華","4","2025/02/16","","2001/02/12","柏林电影节","https://movie.douban.com/subject/2349187/"
"爆燃战队奔奔者 / 爆上戦隊ブンブンジャー","3","2025/02/13","","2024/03/03","日本","https://movie.douban.com/subject/36615207/"
"爆燃战队奔奔者 剧场BOON! 约定·环形跑道 / 爆上戦隊ブンブンジャ...","3","2025/02/13","","2024/07/26","日本","https://movie.douban.com/subject/36883955/"
"虫王战队超王者在宇宙 / 王様戦隊キングオージャー IN SPACE","4","2025/02/13","","2024/11/10","日本","https://movie.douban.com/subject/36936243/"
"爆燃战队奔奔者 变身合体讲座！ / 爆上戦隊ブンブンジャー 変身合...","2","2025/02/13","","2024/03/03","日本","https://movie.douban.com/subject/36962930/"
"奔奔Dream SP 七夕的愿望 / ブンブンドリームSP‐七夕の願いごと‐","3","2025/02/13","","2024/07/07","日本","https://movie.douban.com/subject/36969204/"
"奔奔Hang Out / ブンブンハングアウト","3","2025/02/13","","2024/06/02","日本","https://movie.douban.com/subject/36961734/"
"奔奔Movie Audition / ブンブンムービーオーディション","3","2025/02/13","","2024/07/14","日本","https://movie.douban.com/subject/36969205/"
"悠闲爆上的兜风之旅！！！ / ゆるアゲ ドライブ BOON BOON BOOOM！...","3","2025/02/13","","2024/09/11","日本","https://movie.douban.com/subject/37068669/"
"THE BUNBUNZ","4","2025/02/13","","2024/04/07","日本","https://movie.douban.com/subject/36912739/"
"生物突击队 第一季 / Creature Commandos Season 1","4","2025/02/13","","2024/12/05","美国","https://movie.douban.com/subject/36226804/"
"你的好邻居蜘蛛侠 第一季 / Your Friendly Neighborhood Spider-Ma...","3","2025/02/13","","2025/01/29","美国","https://movie.douban.com/subject/35659893/"
"帕丁顿熊3：秘鲁大冒险 / Paddington in Peru","3","2025/02/13","","2024/11/08","英国","https://movie.douban.com/subject/27115004/"
"星球大战：骨干小队 / Star Wars: Skeleton Crew","3","2025/02/13","","2024/12/02","美国","https://movie.douban.com/subject/35914830/"
